date,investment_amount,stock_selection,returns_amount
2015-07-02,8681.617798739087,"['AAPL', 'DIS', 'FB']",4.804791024645965
2015-07-06,8682.21445719287,"['TSLA', 'FB', 'V']",0.5966584537818562
2015-07-07,8700.457239476156,"['MSFT', 'DIS', 'FB']",18.242782283286942
2015-07-08,8615.509445770582,"['MSFT', 'DIS', 'JNJ']",-84.94779370557444
2015-07-09,8618.843435925954,"['BAC', 'MSFT', 'INTC']",3.3339901553717937
2015-07-10,8706.386139955353,"['JPM', 'TSLA', 'JNJ']",87.54270402939983
2015-07-13,8880.016217015298,"['AAPL', 'FB', 'V']",173.6300770599446
2015-07-14,8904.44542164033,"['AAPL', 'TSLA', 'FB']",24.42920462503207
2015-07-15,8879.46223165637,"['JPM', 'TSLA', 'V']",-24.983189983960983
2015-07-16,8984.44295408413,"['AAPL', 'BAC', 'JNJ']",104.98072242776107
2015-07-17,9235.73914453683,"['AAPL', 'TSLA', 'FB']",251.2961904527001
2015-07-20,9474.418729896513,"['AAPL', 'TSLA', 'FB']",238.6795853596832
2015-07-21,9285.022828248191,"['AAPL', 'TSLA', 'FB']",-189.39590164832225
2015-07-22,9123.71872123399,"['MSFT', 'FB', 'JNJ']",-161.30410701420078
2015-07-23,9052.51144675503,"['BAC', 'JPM', 'TSLA']",-71.20727447896024
2015-07-24,8953.30967401661,"['JNJ', 'MSFT', 'INTC']",-99.20177273842091
2015-07-27,8813.662408865843,"['DIS', 'FB', 'V']",-139.64726515076654
2015-07-28,8911.143858861964,"['BAC', 'MSFT', 'INTC']",97.48144999612123
2015-07-29,9003.393110147248,"['TSLA', 'FB', 'V']",92.24925128528412
2015-07-30,8967.682112798742,"['DIS', 'FB', 'V']",-35.71099734850577
2015-07-31,8908.332166655262,"['TSLA', 'MSFT', 'V']",-59.34994614348034
2015-08-03,8940.674004384538,"['DIS', 'JNJ', 'INTC']",32.34183772927645
2015-08-04,8932.50032299097,"['DIS', 'FB', 'V']",-8.173681393567676
2015-08-05,8704.993773814549,"['TSLA', 'MSFT', 'DIS']",-227.5065491764217
2015-08-06,8413.790857557662,"['AAPL', 'TSLA', 'FB']",-291.20291625688697
2015-08-07,8401.274972815534,"['AAPL', 'BAC', 'INTC']",-12.515884742128037
2015-08-10,8551.762251650489,"['AAPL', 'DIS', 'V']",150.48727883495485
2015-08-11,8304.09885438508,"['AAPL', 'DIS', 'JNJ']",-247.663397265409
2015-08-12,8238.777789807162,"['JPM', 'BAC', 'FB']",-65.32106457791815
2015-08-13,8264.517110974153,"['AAPL', 'TSLA', 'FB']",25.73932116699143
2015-08-14,8273.369735692862,"['TSLA', 'V', 'DIS']",8.852624718709194
2015-08-17,8421.885103905304,"['AAPL', 'TSLA', 'FB']",148.5153682124419
2015-08-18,8414.836617725658,"['AAPL', 'TSLA', 'DIS']",-7.048486179646716
2015-08-19,8320.950450435972,"['MSFT', 'TSLA', 'FB']",-93.88616728968555
2015-08-20,8151.419713355674,"['JNJ', 'FB', 'V']",-169.53073708029842
2015-08-21,7880.521808926214,"['BAC', 'JNJ', 'V']",-270.89790442945923
2015-08-24,7625.217428082553,"['BAC', 'INTC', 'DIS']",-255.30438084366142
2015-08-25,7509.647173967782,"['BAC', 'MSFT', 'INTC']",-115.57025411477116
2015-08-26,7834.308017574807,"['AAPL', 'TSLA', 'FB']",324.6608436070255
2015-08-27,8198.087513666454,"['AAPL', 'TSLA', 'FB']",363.77949609164716
2015-08-28,8277.07427552562,"['AAPL', 'TSLA', 'DIS']",78.9867618591652
2015-08-31,8247.265333082492,"['TSLA', 'FB', 'INTC']",-29.808942443127307
2015-09-01,7934.922597533446,"['BAC', 'TSLA', 'INTC']",-312.34273554904667
2015-09-02,8160.806096855726,"['BAC', 'MSFT', 'INTC']",225.88349932227993
2015-09-03,8037.1640927476765,"['AAPL', 'TSLA', 'FB']",-123.64200410804915
2015-09-04,7883.572204658701,"['MSFT', 'INTC', 'V']",-153.5918880889758
2015-09-08,8097.319537485997,"['BAC', 'FB', 'INTC']",213.7473328272963
2015-09-09,7998.961340755831,"['AAPL', 'TSLA', 'DIS']",-98.35819673016613
2015-09-10,8042.492551005445,"['TSLA', 'FB', 'INTC']",43.53121024961456
2015-09-11,8132.711448492244,"['AAPL', 'DIS', 'FB']",90.2188974867986
2015-09-14,8173.654405539708,"['AAPL', 'DIS', 'TSLA']",40.942957047464006
2015-09-15,8232.194220641959,"['AAPL', 'TSLA', 'JNJ']",58.53981510225094
2015-09-16,8265.535618485437,"['JPM', 'AAPL', 'JNJ']",33.34139784347826
2015-09-17,8225.880356159021,"['JPM', 'TSLA', 'FB']",-39.65526232641605
2015-09-18,8149.915081543404,"['JNJ', 'DIS', 'FB']",-75.96527461561709
2015-09-21,8249.596895949206,"['AAPL', 'BAC', 'FB']",99.68181440580156
2015-09-22,8097.925840830167,"['AAPL', 'TSLA', 'FB']",-151.671055119039
2015-09-23,8114.848582278757,"['MSFT', 'BAC', 'JNJ']",16.922741448590386
2015-09-24,8116.535155497786,"['AAPL', 'FB', 'V']",1.6865732190290146
2015-09-25,7998.86114470238,"['AAPL', 'TSLA', 'FB']",-117.6740107954056
2015-09-28,7732.121321449817,"['JPM', 'BAC', 'V']",-266.73982325256384
2015-09-29,7802.25225976896,"['BAC', 'JNJ', 'INTC']",70.13093831914375
2015-09-30,7926.524478530694,"['DIS', 'JNJ', 'V']",124.27221876173371
2015-10-01,7883.97397965022,"['DIS', 'FB', 'TSLA']",-42.55049888047415
2015-10-02,7917.4567981689515,"['JPM', 'DIS', 'FB']",33.48281851873162
2015-10-05,8019.317756717626,"['MSFT', 'TSLA', 'FB']",101.86095854867472
2015-10-06,7980.6540711920425,"['JPM', 'FB', 'V']",-38.66368552558379
2015-10-07,8019.025012842376,"['AAPL', 'MSFT', 'INTC']",38.37094165033341
2015-10-08,8063.620779482229,"['JNJ', 'INTC', 'V']",44.59576663985354
2015-10-09,8071.680251397869,"['DIS', 'MSFT', 'V']",8.059471915639733
2015-10-12,8108.771016878243,"['AAPL', 'DIS', 'FB']",37.0907654803741
2015-10-13,8111.216614476709,"['DIS', 'FB', 'V']",2.4455975984656106
2015-10-14,8021.962082926778,"['AAPL', 'TSLA', 'DIS']",-89.25453154993102
2015-10-15,8165.644171640808,"['BAC', 'FB', 'INTC']",143.68208871403021
2015-10-16,8275.116976510686,"['TSLA', 'JNJ', 'DIS']",109.47280486987802
2015-10-19,8306.237911184828,"['JNJ', 'TSLA', 'FB']",31.12093467414161
2015-10-20,8107.138579876719,"['DIS', 'TSLA', 'V']",-199.09933130810896
2015-10-21,8093.168617256542,"['JPM', 'AAPL', 'DIS']",-13.969962620176375
2015-10-22,8294.221477075525,"['JNJ', 'DIS', 'FB']",201.05285981898305
2015-10-23,8381.884389250565,"['JNJ', 'DIS', 'FB']",87.66291217503931
2015-10-26,8408.851242474004,"['FB', 'AAPL', 'MSFT']",26.966853223439102
2015-10-27,8314.092528564695,"['MSFT', 'TSLA', 'FB']",-94.75871390930843
2015-10-28,8349.361489210125,"['FB', 'DIS', 'JNJ']",35.268960645429615
2015-10-29,8349.05946706865,"['JPM', 'AAPL', 'TSLA']",-0.3020221414753905
2015-10-30,8238.724878285855,"['FB', 'AAPL', 'JNJ']",-110.33458878279453
2015-11-02,8335.814548655311,"['BAC', 'JNJ', 'INTC']",97.08967036945614
2015-11-03,8277.349638734995,"['AAPL', 'TSLA', 'FB']",-58.46490992031613
2015-11-04,8293.195349999485,"['AAPL', 'MSFT', 'V']",15.845711264490092
2015-11-05,8455.166623922998,"['TSLA', 'FB', 'V']",161.97127392351285
2015-11-06,8479.573632155774,"['JPM', 'FB', 'V']",24.407008232776207
2015-11-09,8411.20739637704,"['BAC', 'JPM', 'DIS']",-68.36623577873434
2015-11-10,8450.479528337273,"['BAC', 'DIS', 'INTC']",39.27213196023331
2015-11-11,8446.97075513865,"['DIS', 'FB', 'V']",-3.5087731986241124
2015-11-12,8298.53583303325,"['JNJ', 'TSLA', 'FB']",-148.4349221053999
2015-11-13,8213.950953243286,"['BAC', 'DIS', 'MSFT']",-84.58487978996345
2015-11-16,8277.402644055164,"['BAC', 'INTC', 'V']",63.45169081187851
2015-11-17,8269.323578683576,"['AAPL', 'TSLA', 'JNJ']",-8.079065371588513
2015-11-18,8414.230333148085,"['JNJ', 'FB', 'INTC']",144.9067544645095
2015-11-19,8419.823991146692,"['AAPL', 'TSLA', 'FB']",5.593657998606432
2015-11-20,8438.917723051827,"['AAPL', 'TSLA', 'INTC']",19.093731905135428
2015-11-23,8421.951780859816,"['JNJ', 'DIS', 'FB']",-16.965942192011426
2015-11-24,8393.905186690497,"['MSFT', 'JNJ', 'V']",-28.04659416931827
2015-11-25,8491.037247175,"['AAPL', 'TSLA', 'MSFT']",97.13206048450229
2015-11-27,8431.708382635832,"['TSLA', 'INTC', 'DIS']",-59.328864539167625
2015-11-30,8363.799185917422,"['JPM', 'TSLA', 'JNJ']",-67.90919671841039
2015-12-01,8411.460947826106,"['AAPL', 'MSFT', 'INTC']",47.66176190868464
2015-12-02,8288.733391682257,"['TSLA', 'FB', 'DIS']",-122.72755614384914
2015-12-03,8125.344320343957,"['BAC', 'MSFT', 'INTC']",-163.3890713382998
2015-12-04,8247.717068402739,"['BAC', 'TSLA', 'INTC']",122.37274805878133
2015-12-07,8191.462119130578,"['AAPL', 'DIS', 'V']",-56.25494927216096
2015-12-08,8097.238086170599,"['TSLA', 'JNJ', 'INTC']",-94.22403295997901
2015-12-09,7950.56338848292,"['MSFT', 'AAPL', 'FB']",-146.67469768767842
2015-12-10,7975.728844267536,"['BAC', 'JNJ', 'INTC']",25.165455784615915
2015-12-11,7706.412462007145,"['AAPL', 'TSLA', 'FB']",-269.31638226039104
2015-12-14,7744.026056610457,"['BAC', 'JNJ', 'INTC']",37.61359460331187
2015-12-15,7837.288626470599,"['TSLA', 'FB', 'DIS']",93.26256986014232
2015-12-16,8061.925849723311,"['JNJ', 'DIS', 'TSLA']",224.63722325271192
2015-12-17,7992.710601793327,"['TSLA', 'FB', 'DIS']",-69.21524792998389
2015-12-18,7754.701790739939,"['BAC', 'MSFT', 'INTC']",-238.00881105338885
2015-12-21,7849.1412459970325,"['BAC', 'MSFT', 'INTC']",94.43945525709387
2015-12-22,7822.928996737841,"['JPM', 'AAPL', 'TSLA']",-26.212249259191594
2015-12-23,7843.1256450708825,"['FB', 'MSFT', 'JNJ']",20.196648333041594
2015-12-24,7814.087532203599,"['JPM', 'AAPL', 'V']",-29.038112867283417
2015-12-28,7852.557587819729,"['TSLA', 'FB', 'DIS']",38.470055616129684
2015-12-29,7903.9381566283,"['DIS', 'FB', 'V']",51.3805688085713
2015-12-30,7853.984447346036,"['AAPL', 'TSLA', 'FB']",-49.953709282263844
2015-12-31,7802.727037181021,"['BAC', 'TSLA', 'MSFT']",-51.257410165015244
2016-01-04,7526.293187656928,"['BAC', 'TSLA', 'INTC']",-276.4338495240927
2016-01-05,7451.615819204611,"['AAPL', 'BAC', 'INTC']",-74.67736845231684
2016-01-06,7412.297111706161,"['JNJ', 'FB', 'V']",-39.31870749845075
2016-01-07,7173.207020388329,"['JNJ', 'BAC', 'FB']",-239.09009131783205
2016-01-08,7095.375975156012,"['BAC', 'JNJ', 'DIS']",-77.83104523231668
2016-01-11,7148.282856669426,"['AAPL', 'DIS', 'MSFT']",52.90688151341419
2016-01-12,7246.665418039615,"['AAPL', 'DIS', 'V']",98.38256137018925
2016-01-13,6969.053123092957,"['TSLA', 'FB', 'DIS']",-277.61229494665804
2016-01-14,7109.635716782315,"['BAC', 'MSFT', 'INTC']",140.58259368935796
2016-01-15,6957.133290563517,"['AAPL', 'TSLA', 'FB']",-152.50242621879806
2016-01-19,6917.576262933819,"['JPM', 'BAC', 'TSLA']",-39.557027629698496
2016-01-20,6819.071952033912,"['FB', 'DIS', 'JNJ']",-98.50431089990707
2016-01-21,6799.068417955903,"['AAPL', 'MSFT', 'INTC']",-20.00353407800867
2016-01-22,6933.835933440043,"['DIS', 'TSLA', 'V']",134.76751548413995
2016-01-25,6828.364307564196,"['AAPL', 'DIS', 'FB']",-105.47162587584717
2016-01-26,6984.071208743388,"['MSFT', 'JNJ', 'INTC']",155.70690117919185
2016-01-27,6957.832999488535,"['JPM', 'DIS', 'JNJ']",-26.238209254852336
2016-01-28,6999.600562278542,"['JPM', 'BAC', 'JNJ']",41.767562790007105
2016-01-29,7220.37410912929,"['MSFT', 'TSLA', 'FB']",220.77354685074806
2016-02-01,7256.0927670554465,"['AAPL', 'FB', 'V']",35.718657926156084
2016-02-02,7049.853409376286,"['JNJ', 'TSLA', 'FB']",-206.2393576791601
2016-02-03,6991.550312697253,"['JNJ', 'BAC', 'FB']",-58.30309667903384
2016-02-04,6995.447099054377,"['AAPL', 'DIS', 'V']",3.896786357124256
2016-02-05,6737.911685421481,"['JPM', 'AAPL', 'TSLA']",-257.53541363289605
2016-02-08,6555.903192356723,"['JPM', 'BAC', 'INTC']",-182.0084930647581
2016-02-09,6554.042183267048,"['AAPL', 'JNJ', 'INTC']",-1.8610090896745533
2016-02-10,6462.624283709123,"['TSLA', 'V', 'DIS']",-91.41789955792501
2016-02-11,6429.576331876826,"['MSFT', 'FB', 'V']",-33.04795183229726
